1,muhyi ad din an nadhir,23212,7515
1,al misk,23321,6612
1,ar rawabi al khudr,23321,6712
2,ar rawabi al khudr,23321,6712
3,at turki,23212,7242
3,al misk,23321,6612
4,al khashabi,23338,4715
4,al hajjajiyah,23338,4608
4,wadi al manahil,23338,4513
4,al makarunah,23338,4112
4,al amir mitib,23342,3088
5,at tadamun al arabi,23344,7465
5,ar rihab,23345,8944
5,al muallifin,23345,8523
6,wadi ar rawdah,23337,9019
6,al liwa,23337,8348
6,sabaa,23337,8007
6,gharyzah,23337,7983
7,al aliyah,23343,6938
7,ukadh,23344,8012
8,al adl,23323,3720
9,hail,23323,3252
9,hail,23323,3227
10,hail,23323,3280
11,ibrahim adham,23323,3368
12,al uqsur,23212,3082
12,ibrahim adham,23323,3309
12,al andalus,23323,2649
